Date,Pos,Neg,Neu
2020-01-23,445,3104,6614
2020-01-31,674,3202,5210
2020-01-26,452,2785,4698
2020-01-22,184,1372,2468
2020-01-24,496,3215,6228
2020-01-28,582,3291,6494
2020-01-29,602,3065,5528
2020-01-30,724,3372,5704
2020-01-25,442,2794,4960
2020-01-27,567,3271,5727
2020-02-08,565,2675,4480
2020-02-10,572,2718,4777
2020-02-11,584,2563,4668
2020-02-21,489,2724,4878
2020-02-03,531,2416,4618
2020-02-01,582,2313,3978
2020-02-04,530,2449,4732
2020-02-14,669,2695,5351
2020-02-26,505,2556,3387
2020-02-22,453,2359,4024
2020-02-02,465,2358,4374
2020-02-19,571,2503,5056
2020-02-24,526,2874,3886
2020-02-12,575,2517,5190
2020-02-18,543,2797,5385
2020-02-09,586,2496,4028
2020-02-20,517,2558,5320
2020-02-15,563,2434,4926
2020-02-27,727,3080,4238
2020-02-05,516,2282,5127
2020-02-23,440,2384,3762
2020-02-25,608,2860,3802
2020-02-16,514,2320,4940
2020-02-28,824,3234,4355
2020-02-13,561,2789,5421
2020-02-29,633,3226,4152
2020-02-17,621,2617,5846
2020-02-07,623,2891,4890
2020-02-06,700,3037,5180
2020-03-02,619,2581,4098
2020-03-05,717,2941,4895
2020-03-15,1027,2449,4393
2020-03-04,724,2626,4604
2020-03-09,828,3243,5466
2020-03-11,774,2763,5155
2020-03-03,685,2769,4495
2020-03-01,676,3014,4150
2020-03-06,803,3215,5158
2020-03-08,743,2798,4812
2020-03-12,836,2803,4726
2020-03-14,892,2251,4327
2020-03-16,1035,2380,4590
2020-03-13,900,2718,4724
2020-03-07,768,3179,5053
2020-03-10,839,2861,5300
2020-03-24,1577,3471,6245
2020-03-22,1320,2931,4978
2020-03-19,1121,2870,4767
2020-03-21,1183,2811,4656
2020-03-17,1050,2465,4776
2020-03-25,1429,3054,5357
2020-03-23,1401,3193,5370
2020-03-27,1533,3309,5331
2020-03-28,1496,3045,4940
2020-03-26,1562,3305,5508
2020-03-20,1204,2946,4906
2020-03-18,1053,3059,4797
2020-03-31,1691,3681,6644
2020-04-22,1642,3795,6146
2020-04-25,1782,4262,6808
2020-04-06,1638,3491,5677
2020-04-21,1516,3944,6015
2020-04-10,1643,3853,5848
2020-04-30,1883,4405,7505
2020-04-11,1450,3723,5341
2020-04-28,1899,4226,7200
2020-04-29,1765,4289,6922
2020-04-04,1579,3734,5461
2020-04-19,1440,3729,5476
2020-04-24,1943,4328,7602
2020-04-01,1497,3641,5479
2020-04-08,1731,3551,5560
2020-04-13,1471,3714,5672
2020-04-03,1726,3612,6059
2020-04-07,1751,3611,5716
2020-04-20,1460,3809,5954
2020-04-23,1915,4014,6867
2020-04-14,1584,3588,6069
2020-03-30,1410,3024,5049
2020-04-09,1654,3730,5818
2020-04-18,1472,3881,5623
2020-03-29,1482,3351,4980
2020-04-26,1812,4203,6782
2020-04-05,1580,3640,5496
2020-04-02,1628,3693,5677
2020-04-17,1596,3735,6002
2020-04-16,1680,3780,6270
2020-04-27,1943,4317,7412
2020-04-12,1440,3675,5071
2020-04-15,1578,3825,6174
2020-05-16,1745,4395,6890
2020-05-12,1837,4514,7380
2020-05-04,1737,4343,7158
2020-05-29,1489,3889,5945
2020-05-01,1868,4180,7213
2020-05-06,1866,4571,7381
2020-05-02,1709,4067,6853
2020-05-18,1627,4208,6792
2020-05-07,1867,4454,7447
2020-05-15,1832,4497,7422
2020-05-09,1689,4346,6738
2020-05-13,1729,4448,7265
2020-05-05,1734,4538,6977
2020-05-10,1625,4361,6592
2020-05-23,1408,4017,6149
2020-05-25,1452,4087,6088
2020-05-30,1238,3646,5290
2020-05-31,1159,3617,4956
2020-05-28,1510,4197,6251
2020-05-03,1633,4011,6347
2020-05-22,1853,4414,7343
2020-05-11,1661,4257,6823
2020-05-26,1562,4119,6487
2020-05-08,1825,4432,7178
2020-05-19,1785,4239,7398
2020-05-14,1695,4383,7307
2020-05-27,1583,4059,6756
2020-05-20,1669,4140,7370
2020-05-17,1506,4310,6554
2020-05-24,1431,4346,5716
2020-05-21,1774,4379,7509
2020-06-13,1353,3826,6217
2020-06-09,1577,3842,7233
2020-06-11,1629,4527,7392
2020-06-08,1412,3497,6522
2020-06-05,1303,3375,5123
2020-06-02,1318,3599,5601
2020-06-14,1245,3368,5444
2020-06-01,1344,3537,5318
2020-06-07,1047,3098,4498
2020-06-12,1530,4264,6900
2020-06-06,1177,3269,4789
2020-06-10,1600,4194,7267
2020-06-04,1363,3697,6080
2020-06-03,1366,3837,6058
2020-06-15,1432,3889,6381
2020-06-16,1677,4407,6984
2020-06-25,1743,5018,7080
2020-06-30,1689,5030,7096
2020-06-21,1188,4123,5653
2020-06-19,1666,4395,7033
2020-06-24,1668,4755,7021
2020-06-18,1673,4290,7335
2020-06-20,1330,4228,6292
2020-06-17,1578,3998,6399
2020-06-27,1538,5146,6721
2020-06-29,1664,4748,7050
2020-06-26,1599,5230,6927
2020-06-28,1485,4516,5892
2020-06-23,1555,4471,6908
2020-06-22,1504,4232,6654
